# reading -> cuneiform codepoint, learned from lines where the codepoint
# count equals the sign count. Generated by programs/learn_signmap.py.
# reading	cuneiform	confidence	top_obs	total_obs	unicode_name
BABBAR	𒌓	0.999	1600	1602	CUNEIFORM SIGN UD
uḫ	𒄴	0.999	1561	1562	CUNEIFORM SIGN HI TIMES NUN
RU	𒊒	1.000	1501	1501	CUNEIFORM SIGN RU
MUŠEN	𒄷	0.999	1491	1493	CUNEIFORM SIGN HU
MIN	𒈫	0.998	1477	1480	CUNEIFORM SIGN MIN
ZAG	𒍠	0.997	1468	1473	CUNEIFORM SIGN ZAG
UD	𒌓	0.997	1464	1469	CUNEIFORM SIGN UD
tal	𒊑	0.999	1464	1466	CUNEIFORM SIGN RI
IA	𒅀	0.999	1398	1399	CUNEIFORM SIGN I A
im	𒅎	0.999	1363	1364	CUNEIFORM SIGN IM
ZA	𒍝	0.999	1341	1343	CUNEIFORM SIGN ZA
M	𒁹	0.999	1340	1342	CUNEIFORM SIGN DISH
BA	𒁀	0.998	1339	1342	CUNEIFORM SIGN BA
SÌR	𒂡	0.998	1322	1324	CUNEIFORM SIGN EZEN
ḫé	𒃶	0.999	1288	1289	CUNEIFORM SIGN GAN
GU₄	𒄞	0.999	1265	1266	CUNEIFORM SIGN GUD
Ì	𒉌	0.999	1252	1253	CUNEIFORM SIGN NI
ŠÚ	𒋙	0.999	1248	1249	CUNEIFORM SIGN SHU2
SIG	𒋝	0.996	1230	1235	CUNEIFORM SIGN SIG
AN	𒀭	0.999	1223	1224	CUNEIFORM SIGN AN
um	𒌝	1.000	1214	1214	CUNEIFORM SIGN UM
ir	𒅕	0.998	1199	1201	CUNEIFORM SIGN IR
di	𒁲	0.999	1200	1201	CUNEIFORM SIGN DI
uz	𒊻	0.999	1173	1174	CUNEIFORM SIGN SHE HU
ka₄	𒋡	1.000	1168	1168	CUNEIFORM SIGN SILA3
SANGA	𒋃	0.998	1160	1162	CUNEIFORM SIGN SHID
EZEN₄	􀀉	0.998	1128	1130	(unnamed)
